key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
#,BNpcBase[1],PartSlot[1],,,,,X[1],Y[1],Z[1],,Scale[1],BNpcBase[2],PartSlot[2],,,,,X[2],Y[2],Z[2],,Scale[2],BNpcBase[3],PartSlot[3],,,,,X[3],Y[3],Z[3],Scale[3],,BNpcBase[4],PartSlot[4],,,,,X[4],Y[4],Z[4],,Scale[4],BNpcBase[5],PartSlot[5],,,,,X[5],Y[5],Z[5],,Scale[5],,,,,,,,,,,
int32,BNpcBase,byte,bool,bool,bool,bool,single,single,single,int16,single,BNpcBase,byte,bool,bool,bool,bool,single,single,single,int16,single,BNpcBase,byte,bool,bool,bool,bool,single,single,single,int16,single,BNpcBase,byte,bool,bool,bool,bool,single,single,single,int16,single,BNpcBase,byte,bool,bool,bool,bool,single,single,single,int16,single,uint16,byte,bool,bool,bool,bool,single,single,single,int16,single
0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
1,"BNpcBase#266",1,True,False,True,False,0,2.188,0.167,0,1.2,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
2,"BNpcBase#642",0,False,True,True,False,0.601,2.396,2.723,0,4,"BNpcBase#642",0,False,True,True,False,-0.863,2.396,2.573,0,4,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
3,"BNpcBase#1507",1,False,False,True,False,0.067,3.514,1.531,0,3.5,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
4,"BNpcBase#1508",1,False,False,True,False,0.067,3.514,1.531,0,3.5,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
5,"BNpcBase#1509",1,False,False,True,False,0.067,3.514,1.531,0,3.5,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
6,"BNpcBase#2042",3,True,False,True,False,0.069,2.013,0.79,0,1.1,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
7,"BNpcBase#2689",0,False,False,True,False,0.032,1.557,0.235,0,1.9,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
8,"BNpcBase#2766",0,False,False,True,False,0.031,0.612,2.504,0,2.3,"BNpcBase#2767",0,False,False,True,False,0.031,0.612,2.504,0,2.3,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
9,"BNpcBase#3350",1,True,False,True,False,-0.063,5.468,0.188,0,1.5,"BNpcBase#3351",2,True,False,True,False,0.993,5.031,-0.131,0,1.5,"BNpcBase#3352",3,True,False,True,False,-1.283,3.503,-0.775,0,1.5,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
10,"BNpcBase#3604",0,False,True,True,False,0.601,2.396,2.723,0,4,"BNpcBase#3603",0,False,True,True,False,-0.863,2.396,2.573,0,4,"BNpcBase#3605",0,False,True,True,False,0.826,3.029,1.711,0,4,"BNpcBase#3606",0,False,True,True,False,-0.901,2.744,2.06,0,4,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
11,"BNpcBase#4106",3,True,False,True,False,7,0,-7,0,3,"BNpcBase#4105",4,True,False,True,False,-7,0,-7,0,3,"BNpcBase#4104",1,True,False,True,False,7,0,7,0,3,"BNpcBase#4103",2,True,False,True,False,-7,0,7,0,3,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
12,"BNpcBase#4110",3,True,False,True,False,7,0,-7,0,3,"BNpcBase#4109",4,True,False,True,False,-7,0,-7,0,3,"BNpcBase#4108",1,True,False,True,False,7,0,7,0,3,"BNpcBase#4107",2,True,False,True,False,-7,0,7,0,3,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
13,"BNpcBase#4229",0,False,True,True,False,-1.593,4.784,2.841,0,3.7,"BNpcBase#4230",0,False,True,True,False,1.062,4.741,3.125,0,3.7,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
14,"BNpcBase#4421",1,True,False,True,False,-1.3,0,0.6,0,3,"BNpcBase#4422",0,False,False,True,False,-1.3,0,0.6,0,3,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
15,"BNpcBase#4423",1,True,False,True,False,-1.3,0,0.6,0,3,"BNpcBase#4424",0,False,False,True,False,-1.3,0,0.6,0,3,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
16,"BNpcBase#4657",3,True,False,True,False,0.069,2.013,0.79,0,1.1,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
17,"BNpcBase#4276",0,False,False,True,False,2.664,2.686,0.119,0,3.8,"BNpcBase#4277",0,False,False,True,False,-2.795,2.571,0.868,0,3.8,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
18,"BNpcBase#2667",1,False,False,True,False,0.067,3.514,1.531,0,3.5,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
19,"BNpcBase#6101",0,False,False,True,False,-0.361,6,5,0,3,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
20,"BNpcBase#6103",0,False,False,True,False,-0.361,6,5,0,3,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
21,"BNpcBase#6102",1,True,False,True,False,0,2.3,-0.501,0,1,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
22,"BNpcBase#6936",0,False,True,False,False,0,3,-7,0,18,"BNpcBase#6937",0,False,False,False,False,20,10,-7,0,15,"BNpcBase#6938",0,False,False,False,False,-20,10,-7,0,15,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
23,"BNpcBase#6954",0,False,False,True,False,0,0.4,0,0,2.5,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
24,"BNpcBase#7179",0,False,False,False,False,1,3,0,0,0.4,"BNpcBase#7178",0,False,False,False,False,-1,3,0,0,0.4,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
25,"BNpcBase#7300",0,False,False,True,False,0,0.4,2.6,0,1,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,"BNpcBase#0",0,False,False,True,False,0,0,0,0,0,0,0,False,False,True,False,0,0,0,0,0
